ag-results.vim|"vim"|"ag;searching"|""
cd-dir-file.sh|"sh"|""|""
cd-dir-hidden.sh|"sh"|""|""
cd-dir.sh|"sh"|""|""
completion-cmdl.vim|"vim"|"completion;commandline"|""
ctags-search.bash|""|""|""
edit-file.sh|"sh"|""|""
git-checkout-branch.sh|"sh"|""|""
git-checkout-commit.sh|"sh"|""|""
grep-file-contents.sh|"sh"|""|""
history-repeat-edit.bash|""|""|""
history-repeat.bash|""|""|""
history-repeat2.bash|""|""|""
history-repeat3.bash|""|""|""
kill-process.sh|"sh"|""|""
locate.tmux|"tmux"|"locate;search"|""
mru.vim|"vim"|""|""
open-file.sh|"sh"|""|""
search-buffer-lines.vim|"vim"|"search;buffer"|""
tags-jump.vim|"vim"|"tags;jumping"|""
tmux-pane-switch.sh|"sh"|""|""
tmux-session-select.sh|"sh"|""|""
z.bash|"bash"|""|""
z1.bash|""|""|""
